,tipo,centro,direccion,n_distrito,n_barrio,aceite,objectid,estado,codigo,created_user,created_date,last_edited_user,last_edited_date,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
252,07-ALCALDIA DE BARRI,ALCALDIA MASSARROJOS,"C/ MOSSÉN BAU, 12 B",17,176,1,335,Instalado,AB10,,,U60391,2023-06-29T15:04:39+02:00,Feature,"[-0.40391482269228346, 39.53956306509709]",Point,-0.40391482269228346,39.53956306509709
253,VIA PUBLICA,,"C/ SAGUNT, 32",05,052,1,339,Instalado,183,,,U60391,2023-11-09T13:15:33+01:00,Feature,"[-0.37497678575655674, 39.48366284974111]",Point,-0.37497678575655674,39.48366284974111
254,VIA PUBLICA,,"C/ ALBORAIA, 62",05,053,1,340,Instalado,192,,,U60391,2023-11-09T13:19:56+01:00,Feature,"[-0.3684867217659315, 39.48591432678388]",Point,-0.3684867217659315,39.48591432678388
255,VIA PUBLICA,,C/ MOLINELL - AV PRIMAT REIG,05,053,1,342,Instalado,52,,,U60391,2023-11-09T13:30:07+01:00,Feature,"[-0.3644458639137623, 39.484672128885414]",Point,-0.3644458639137623,39.484672128885414
256,VIA PUBLICA,,"C/ POETA BODRIA, 10",05,053,1,343,Instalado,39,,,U60391,2023-11-09T13:35:12+01:00,Feature,"[-0.3724990286112711, 39.481250854459866]",Point,-0.3724990286112711,39.481250854459866
257,VIA PUBLICA,,"PL ÀVILA, 18",05,053,1,344,Instalado,54,,,U60391,2023-11-09T13:40:16+01:00,Feature,"[-0.36954609842119596, 39.481282691143214]",Point,-0.36954609842119596,39.481282691143214
259,VIA PUBLICA,,"CRA ESCRIVA, 1",09,091,1,351,Instalado,12,,,U60391,2023-06-08T14:29:49+02:00,Feature,"[-0.3838976426794711, 39.45784110330776]",Point,-0.3838976426794711,39.45784110330776
263,VIA PUBLICA,,"C/ CONSOLAT DE MAR, 2",02,021,1,365,Instalado,128,,,U60391,2023-06-08T14:49:36+02:00,Feature,"[-0.3716792336038964, 39.46296542778644]",Point,-0.3716792336038964,39.46296542778644
264,VIA PUBLICA,,"AV GENERAL AVILÉS, 59",04,041,1,369,Instalado,179,,,U60391,2023-07-07T11:26:18+02:00,Feature,"[-0.3999947860580666, 39.48398052736726]",Point,-0.3999947860580666,39.48398052736726
265,VIA PUBLICA,,AV VALLE DE LA BALLESTERA - C/ GRAVADOR ENGUÍDANOS,04,041,1,371,Instalado,183,,,U60391,2023-07-07T11:35:00+02:00,Feature,"[-0.39662343668032446, 39.479863138120166]",Point,-0.39662343668032446,39.479863138120166
266,VIA PUBLICA,,C/ JOAQUIM BALLESTER - C/ TRAINERA,04,042,1,376,Instalado,186,,,U60391,2023-07-07T11:51:20+02:00,Feature,"[-0.387027385333801, 39.48409393647193]",Point,-0.387027385333801,39.48409393647193
267,VIA PUBLICA,,AV GENERAL AVILES - C/ LUIS BUÑUEL (DIRECTOR DE CINE),04,044,1,379,Instalado,197,,,U60391,2023-07-07T12:04:49+02:00,Feature,"[-0.403359932339138, 39.48247965540721]",Point,-0.403359932339138,39.48247965540721
268,VIA PUBLICA,,C/ VTE RIOS ENRIQUE (MESTRE ARTESA FONEDOR SEGLE XIX) - C/ HERNÁNDEZ LÁZARO,04,044,1,386,Instalado,50,,,U60391,2023-07-07T12:27:24+02:00,Feature,"[-0.40332714287048166, 39.477186131225146]",Point,-0.40332714287048166,39.477186131225146
269,VIA PUBLICA,,"C/ ALMASSORA, 37",05,052,1,391,Instalado,191,,,U60391,2023-11-08T10:01:57+01:00,Feature,"[-0.37187428958432334, 39.484338894799386]",Point,-0.37187428958432334,39.484338894799386
271,00-DEPENDENCIES MUNICIPALS,CONSERVATORI MUNICIPAL DE MÚSICA JOSE ITURBI,"AV BALEARS, 36",12,125,1,8,Instalado,DM08,,,U60391,2023-05-12T09:15:18+02:00,Feature,"[-0.3520073459198504, 39.46112152046048]",Point,-0.3520073459198504,39.46112152046048
272,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""EL CALVARI""","AV GENERAL AVILÉS, 19",4,043,1,12,Instalado,MA20,,,U60391,2023-05-12T09:16:47+02:00,Feature,"[-0.3927993965757745, 39.48700952293332]",Point,-0.3927993965757745,39.48700952293332
273,04-CENTRE EDUCATIU,IES LLUÍS VIVES,"C/ SANT PAU, 4 (punt ubicat en AV MARQUS DE SOTELO, 9 )",1,016,1,16,Instalado,ED05,,,U60391,2023-05-12T09:18:26+02:00,Feature,"[-0.3772980467911945, 39.46808530153522]",Point,-0.3772980467911945,39.46808530153522
275,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""PINEDO""","TRAV PINEDO A LA MAR, 53",19,193,1,18,Instalado,MA16,,,U60391,2023-05-12T09:19:12+02:00,Feature,"[-0.3368047266405436, 39.421657744132744]",Point,-0.3368047266405436,39.421657744132744
276,00-DEPENDENCIES MUNICIPALS,AJUNTAMENT DE VALÈNCIA-TABAQUERA (Entrada Principal),"C/ AMADEU DE SAVOIA, 11",6,061,1,19,Instalado,DM05,,,U60391,2023-05-12T09:20:39+02:00,Feature,"[-0.3611717379539136, 39.47364910567398]",Point,-0.3611717379539136,39.47364910567398
277,00-DEPENDENCIES MUNICIPALS,AJUNTAMENT DE VALÈNCIA-TABAQUERA (Entrada Registre),"C/ AMADEU DE SAVOIA, 11",6,061,1,20,Instalado,DM06,,,U60391,2023-05-12T09:20:56+02:00,Feature,"[-0.36230963656175036, 39.474030704862045]",Point,-0.36230963656175036,39.474030704862045
278,VIA PUBLICA,,"C/ GUADALAVIAR, 11",05,052,1,22,Instalado,166,,,U60391,2024-01-23T09:21:46+01:00,Feature,"[-0.37680998842539876, 39.48267253001856]",Point,-0.37680998842539876,39.48267253001856
279,09-UNIVERSITAT POPULAR,UP MORVEDRE,"PL RONCESVALLS, 8",5,054,1,30,Instalado,UP06,,,U60391,2023-05-12T13:06:38+02:00,Feature,"[-0.37866891433936917, 39.48751032990669]",Point,-0.37866891433936917,39.48751032990669
